schema_version,pipeline_version,target_id,program_id,observation_id,signal_filter,color_filter,record_type,method_id,method_variant,quantity_family,quantity_name,primary_unit,label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_jy,mag_ab,region_id
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,15856,1237.948160535117,2349.794314381271,1196,378.35400205483006,378.35400205483006,378.35400205483006,8.670032739444583e-06,21.555013778668616,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,2533,724.0,2593.0,9,346.0983248181725,346.0983248181725,346.0983248181725,7.930889566236516e-06,21.65176086582918,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,15960,749.6857825567503,2514.8805256869773,837,305.8424396007424,305.8424396007424,305.8424396007424,7.008420553367815e-06,21.786015235798075,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,17929,1401.759219088937,2988.7874186550976,461,247.4736231925624,247.4736231925624,247.4736231925624,5.670891291160581e-06,22.0159373170198,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,15829,1225.5729794933654,2241.668275030157,829,214.5823137526001,214.5823137526001,214.5823137526001,4.917182520699763e-06,22.170774799410417,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,20734,1843.0233644859813,3440.46261682243,214,130.73806307436686,130.73806307436686,130.73806307436686,2.9958802629027497e-06,22.708754492737498,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,16941,1473.286231884058,2859.655797101449,276,109.11519898436097,109.11519898436097,109.11519898436097,2.500389430077506e-06,22.905046486439673,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,19552,524.5581395348837,3203.665961945032,473,107.45783548063069,107.45783548063069,107.45783548063069,2.462410722939581e-06,22.92166438805106,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,15818,1047.9540412044375,2034.7400950871631,631,102.6599994908129,102.6599994908129,102.6599994908129,2.352467667271367e-06,22.971256464480465,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,16039,549.6968325791855,2593.3371040723982,442,102.36070860825053,102.36070860825053,102.36070860825053,2.3456093765268784e-06,22.974426399662065,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,19114,1279.948051948052,3147.551948051948,154,94.11005655199953,94.11005655199953,94.11005655199953,2.1565445772622586e-06,23.065669522929927,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18145,1485.2692307692307,3009.6826923076924,208,88.70306861344771,88.70306861344771,88.70306861344771,2.0326427229289385e-06,23.129912998481274,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18580,1083.4819277108434,3071.8072289156626,83,87.94228976194512,87.94228976194512,87.94228976194512,2.0152093734356547e-06,23.13926518591081,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,18099,1018.7758620689655,3002.612068965517,116,75.16118546192814,75.16118546192814,75.16118546192814,1.722328652931621e-06,23.309775555684716,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,16052,976.0034722222222,2600.4270833333335,288,72.03106960268661,72.03106960268661,72.03106960268661,1.6506016278955652e-06,23.355959949547824,
sbf-table-2,sbf-3.1,PGC 040707,7763,071,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,15994,156.76112412177986,2549.7072599531616,427,70.0041386965522,70.0041386965522,70.0041386965522,1.6041542341285218e-06,23.386950317445013,
