schema_version,pipeline_version,target_id,program_id,observation_id,signal_filter,color_filter,record_type,method_id,method_variant,quantity_family,quantity_name,primary_unit,label,xcentroid,ycentroid,area_pix,flux_img_signed,flux_img_positive,flux_img_adopted,flux_jy,mag_ab,region_id
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12100,2034.0925925925926,2904.722222222222,270,1786.9403496236014,1786.9403496236014,1786.9403496236014,4.094800542005531e-05,19.869483742032624,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12460,1023.6129032258065,2864.6359447004606,217,1295.963932630553,1295.963932630553,1295.963932630553,2.969720737949091e-05,20.218276592987515,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,15258,1805.489932885906,3212.5615212527964,447,931.0975058768174,931.0975058768174,931.0975058768174,2.1336238630055464e-05,20.577270972353,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12095,1998.3098591549297,2886.56338028169,71,894.4938901029778,894.4938901029778,894.4938901029778,2.0497461299062565e-05,20.62081543453101,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12068,1744.9078260869564,2744.38,1150,843.143620559923,843.143620559923,843.143620559923,1.9320762190995964e-05,20.685004984680017,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12101,2008.712765957447,2918.9840425531916,188,776.0494261260449,776.0494261260449,776.0494261260449,1.7783288688922217e-05,20.775035425384814,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12102,2042.888698630137,2923.142123287671,584,581.6473055626462,581.6473055626462,581.6473055626462,1.3328535015596155e-05,21.08810957913144,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,16322,1375.8220640569396,3944.1699288256227,1124,546.3830652683769,546.3830652683769,546.3830652683769,1.2520449674074801e-05,21.156015804995896,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12322,1956.7307692307693,2810.1666666666665,312,527.7184865088336,527.7184865088336,527.7184865088336,1.2092748059765284e-05,21.193753110085872,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12323,1963.8590163934425,2822.160655737705,305,479.6185968099156,479.6185968099156,479.6185968099156,1.0990531892051443e-05,21.297518845228694,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12092,1982.0785123966941,2872.1570247933887,242,448.57246611592626,448.57246611592626,448.57246611592626,1.0279105163007577e-05,21.370177349175698,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12088,2011.6223300970873,2813.5233009708736,1030,415.58068644082385,415.58068644082385,415.58068644082385,9.523093596511848e-06,21.453120490384556,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,16225,1020.7619047619048,3534.186813186813,273,402.12888077599456,402.12888077599456,402.12888077599456,9.214843457446499e-06,21.488845717817895,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12089,1956.1935840707965,2860.4867256637167,904,364.80099439699325,364.80099439699325,364.80099439699325,8.359469357192668e-06,21.594618846913566,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12090,2042.1451612903227,2877.4247311827958,186,340.32692193726155,340.32692193726155,340.32692193726155,7.798642325701092e-06,21.670018116125892,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12093,1988.5535055350554,2867.579335793358,271,316.4948242815899,316.4948242815899,316.4948242815899,7.252526242877574e-06,21.748842349910092,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,13911,1086.1444444444444,3054.7333333333336,90,301.9976109307586,301.9976109307586,301.9976109307586,6.920320430304938e-06,21.799750112335623,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12096,1984.9837398373984,2887.5528455284552,123,287.2687837770832,287.2687837770832,287.2687837770832,6.582807152793018e-06,21.854037791366792,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12098,1983.0261437908496,2902.830065359477,153,272.1397900515631,272.1397900515631,272.1397900515631,6.236123998426354e-06,21.91277876711236,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,16240,69.66351829988193,3574.582054309327,847,269.28021077338997,269.28021077338997,269.28021077338997,6.170596311502515e-06,21.92424778420833,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12097,2040.9911504424779,2887.7699115044247,113,240.93205746254802,240.93205746254802,240.93205746254802,5.520994137783944e-06,22.04502240727079,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,16203,752.9845360824743,3522.5584192439865,582,216.02739059413156,216.02739059413156,216.02739059413156,4.950299971004735e-06,22.163486831107463,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12105,2007.977687626775,2986.580121703854,986,208.19926493137905,208.19926493137905,208.19926493137905,4.77091730043334e-06,22.203560900983813,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,255,407.41255605381167,2340.5291479820626,223,169.83716443511616,169.83716443511616,169.83716443511616,3.891844028974356e-06,22.424677054797797,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12103,2052.240740740741,2923.6296296296296,162,154.56704263409375,154.56704263409375,154.56704263409375,3.541926903646206e-06,22.52696663674694,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12104,2012.8333333333333,2935.9166666666665,168,134.27158027069598,134.27158027069598,134.27158027069598,3.0768533475904633e-06,22.679798629998032,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,5121,625.0869565217391,2998.0,69,131.63605820142075,131.63605820142075,131.63605820142075,3.0164599651252404e-06,22.70132170809695,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,12563,2057.096525096525,2867.984555984556,259,130.27101166038673,130.27101166038673,130.27101166038673,2.985179719440116e-06,22.712639416104864,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,13890,1010.7642276422764,3045.6422764227646,123,122.19648896852954,122.19648896852954,122.19648896852954,2.800150824088252e-06,22.78211206151135,
sbf-table-2,sbf-3.1,PGC 041959,7763,066,F150W,F115W,09_sources:compact_source_catalog,segmentation_aperture_photometry_v1,default,compact_source_catalog,compact_source_catalog,mixed_or_not_applicable,13867,1051.8125,3030.895833333333,96,112.32016443777549,112.32016443777549,112.32016443777549,2.573833370066506e-06,22.8736145541316,
