jvirgo_target,separation_arcsec,acsvcs_other_name,acsvcs_morphology,hst_sbf_mu,hst_sbf_mu_error,hst_role
NGC4473,0.28,N4473,E5,30.92,0.06,published_sbf_distance
NGC4435,0.13,N4435,SB0_1_(6),31.12,0.05,published_sbf_distance
NGC4459,0.90,N4459,S0_3_(2),31.03,0.06,published_sbf_distance
NGC4371,2.65,N4371,SB0_2_(r)(3),31.15,0.06,published_sbf_distance
NGC4442,0.70,N4442,SB0_1_(6),30.92,0.06,published_sbf_distance
NGC4564,1.78,N4564,E6,31.00,0.06,published_sbf_distance
NGC4478,1.15,N4478,E2,31.15,0.06,published_sbf_distance
NGC4474,1.14,N4474,S0_1_(8),30.96,0.07,published_sbf_distance
NGC4458,0.15,N4458,E1,31.07,0.05,published_sbf_distance
NGC4387,2.37,N4387,E5,31.27,0.06,published_sbf_distance
NGC4476,0.52,N4476,S0_3_(5),31.23,0.07,published_sbf_distance
NGC4550,0.72,N4550,E7/S0_1_(7),30.95,0.05,published_sbf_distance
NGC4528,0.80,N4528,SB0_2_(5),31.00,0.05,published_sbf_distance
NGC4551,0.39,N4551,E2,31.04,0.06,published_sbf_distance
NGC4452,3.03,N4452,S0_1_(9),,,imaging_only
NGC4486A,3.52,N4486A,E2,31.31,0.06,published_sbf_distance
NGC4352,0.96,N4352,S0_1_(8),31.36,0.05,published_sbf_distance
NGC4479,1.20,N4479,SB0_2_(2),31.20,0.06,published_sbf_distance
NGC4482,1.04,N4482,"d:E5,N",31.29,0.06,published_sbf_distance
IC3381,0.60,I3381,"dE3,N",31.11,0.06,published_sbf_distance
NGC4486B,2.26,N4486B,E1,31.06,0.07,published_sbf_distance
IC3468,0.40,I3468,"E1,N:",30.93,0.06,published_sbf_distance
IC3328,1.74,I3328,"dE1,N",31.13,0.07,published_sbf_distance
IC3586,0.51,I3586,dS0:,31.09,0.08,published_sbf_distance
IC3501,0.44,I3501,d:E1,31.06,0.06,published_sbf_distance
IC3470,0.74,I3470,"dE0,N",31.04,0.06,published_sbf_distance
IC3442,1.97,I3442,"dE2,N",31.14,0.08,published_sbf_distance
IC3461,0.88,I3461,"dE2,N",31.12,0.05,published_sbf_distance
PGC041156,1.35,,"dE1,N",31.14,0.10,published_sbf_distance
PGC041723,1.06,,dS0 pec,31.32,0.05,published_sbf_distance
IC3492,0.34,I3492,E3 pec or S0,,,imaging_only
PGC041959,0.30,,E0,30.97,0.27,published_sbf_distance
IC3509,0.58,I3509,E4,31.13,0.07,published_sbf_distance
IC3635,0.19,I3635,"dE2,N",31.13,0.08,published_sbf_distance
IC3383,0.48,I3383,"dE4,N",31.04,0.09,published_sbf_distance
PGC041782,0.59,,"dE0,N",31.14,0.11,published_sbf_distance
NGC4486,0.22,"M87, N4486",E0,31.18,0.07,published_sbf_distance
NGC4406,1.41,"M86, N4406",S0_1_(3)/E3,31.13,0.07,published_sbf_distance
NGC4374,0.35,"M84, N4374",E1,31.33,0.05,published_sbf_distance
NGC4552,0.29,"M89, N4552",S0_1_(0),31.00,0.06,published_sbf_distance
